tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Site ID,core #,duplicate
1,1.495,18.2697,14.6641,4,5.1888,1.2961,4.6838,NA,,55.41769441,13.1691,3.6938,3.3877,#VALUE!,0.066653801,#VALUE!,#VALUE!,0-4,2,1,1
2,1.4866,17.2087,14.9655,4,7.9007,1.289,7.5796,NA,,55.41769441,13.4789,6.4141,6.2906,#VALUE!,0.115741011,#VALUE!,#VALUE!,8-Apr,2,1,1
3,1.5071,33.5375,31.2334,8,16.326,1.2954,15.9431,NA,,110.8353888,29.7263,14.8189,14.6477,#VALUE!,0.133701881,#VALUE!,#VALUE!,16-Aug,2,1,1
4,1.4909,34.8366,32.6089,8,18.3019,1.2905,17.973,NA,,110.8353888,31.118,16.811,16.6825,#VALUE!,0.151675383,#VALUE!,#VALUE!,16-24,2,1,1
5,1.4926,35.9759,33.487,8,20.0464,1.2931,19.8635,NA,,110.8353888,31.9944,18.5538,18.5704,#VALUE!,0.167399602,#VALUE!,#VALUE!,24-32,2,1,1
6,1.4926,46.4431,42.7464,10,25.7743,1.2994,25.5239,NA,,138.544236,41.2538,24.2817,24.2245,#VALUE!,0.175263156,#VALUE!,#VALUE!,32-42,2,1,1
7,1.4832,16.242,14.3631,4,6.007,1.2965,5.6878,NA,,55.41769441,12.8799,4.5238,4.3913,#VALUE!,0.081630967,#VALUE!,#VALUE!,0-4,5,2,1
8,1.4985,15.913,14.3294,4,7.1345,1.3004,6.8262,NA,,55.41769441,12.8309,5.636,5.5258,#VALUE!,0.10170037,#VALUE!,#VALUE!,8-Apr,5,2,1
9,1.4755,32.7762,26.856,8,15.26,1.4963,15.2761,NA,,110.8353888,25.3805,13.7845,13.7798,#VALUE!,0.124369122,#VALUE!,#VALUE!,16-Aug,5,2,1
10,1.4956,33.8117,29.7922,8,16.856,1.2947,16.6098,NA,,110.8353888,28.2966,15.3604,15.3151,#VALUE!,0.138587505,#VALUE!,#VALUE!,16-24,5,2,1
11,1.4806,33.6892,31.8178,8,17.2373,1.2911,16.7386,NA,,110.8353888,30.3372,15.7567,15.4475,#VALUE!,0.142163078,#VALUE!,#VALUE!,24-32,5,2,1
12,1.481,39.7371,37.746,8.5,22.2125,1.4945,21.9197,NA,,117.7626006,36.265,20.7315,20.4252,#VALUE!,0.176044855,#VALUE!,#VALUE!,32-40.5,5,2,1
13,1.5036,15.6175,13.6713,4,5.7989,1.4854,5.6095,NA,,55.41769441,12.1677,4.2953,4.1241,#VALUE!,0.077507735,#VALUE!,#VALUE!,0-4,8,3,1
14,1.5018,27.7775,24.7262,3.5,19.3428,1.479,19.1402,NA,,48.49048261,23.2244,17.841,17.6612,#VALUE!,0.36792787,#VALUE!,#VALUE!,4-7.5 with cap,8,3,1
15,1.5097,20.777,17.466,4,12.2528,1.4752,11.9012,NA,,55.41769441,15.9563,10.7431,10.426,#VALUE!,0.193856856,#VALUE!,#VALUE!,0-4,11,4,1
16,1.4983,35.0636,31.7065,4.5,25.6908,1.5196,25.2638,NA,,62.34490621,30.2082,24.1925,23.7442,#VALUE!,0.388042929,#VALUE!,#VALUE!,4-8.5 with cap,11,4,1
17,1.5038,20.9916,16.5487,4,10.9898,1.2932,10.5614,NA,,55.41769441,15.0449,9.486,9.2682,#VALUE!,0.171172765,#VALUE!,#VALUE!,0-4,14,5,1
18,1.4915,23.7138,19.4475,2,16.4934,1.2932,15.057,NA,,27.7088472,17.956,15.0019,13.7638,#VALUE!,0.541411914,#VALUE!,#VALUE!,4-6 with cap,14,5,1
