tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Site ID,core #,duplicate
1,1.4913,19.8224,16.4775,4,5.6273,1.3972,5.2879,NA,,55.41769441,14.9862,4.136,3.8907,#VALUE!,0.074633202,#VALUE!,#VALUE!,0-4,2,1,1
2,1.4918,20.0633,18.4662,4,11.1709,1.4141,10.8034,NA,,55.41769441,16.9744,9.6791,9.3893,#VALUE!,0.174657212,#VALUE!,#VALUE!,8-Apr,2,1,1
3,1.4981,15.0099,12.3423,3,9.629,1.4141,9.3447,NA,,41.56327081,10.8442,8.1309,7.9306,#VALUE!,0.195627049,#VALUE!,#VALUE!,11-Aug,2,1,1
4,1.502,14.3933,11.8836,4,3.881,1.402,3.6458,NA,,55.41769441,10.3816,2.379,2.2438,#VALUE!,0.042928527,#VALUE!,#VALUE!,0-4,5,2,1
5,1.5042,17.0095,14.8533,4,8.1017,1.4095,7.8529,NA,,55.41769441,13.3491,6.5975,6.4434,#VALUE!,0.119050424,#VALUE!,#VALUE!,8-Apr,5,2,1
6,1.4847,24.6081,21.9785,3,16.8976,1.4042,14.4948,NA,,41.56327081,20.4938,15.4129,13.0906,#VALUE!,0.370829814,#VALUE!,#VALUE!,8-11 (with cap),5,2,1
7,1.4816,12.9507,10.9092,4,3.6743,1.4172,3.42,NA,,55.41769441,9.4276,2.1927,2.0028,#VALUE!,0.039566785,#VALUE!,#VALUE!,0-4,8,3,1
8,1.4924,21.0875,19.8764,4,12.9354,1.4462,12.6886,NA,,55.41769441,18.384,11.443,11.2424,#VALUE!,0.206486396,#VALUE!,#VALUE!,8-Apr,8,3,1
9,1.496,15.0206,13.7535,2.5,9.616,1.5003,9.4617,NA,,34.63605901,12.2575,8.12,7.9614,#VALUE!,0.234437757,#VALUE!,#VALUE!,8-10.5 (with cap),8,3,1
10,1.5072,13.5981,12.0434,4,3.9832,1.4934,3.8038,NA,,55.41769441,10.5362,2.476,2.3104,#VALUE!,0.044678871,#VALUE!,#VALUE!,0-4,11,4,1
11,1.4983,16.3277,14.1527,4,7.2119,1.5129,6.9648,NA,,55.41769441,12.6544,5.7136,5.4519,#VALUE!,0.103100644,#VALUE!,#VALUE!,8-Apr,11,4,1
12,1.5005,45.634,42.7155,8,24.7916,1.4177,24.5419,NA,,110.8353888,41.215,23.2911,23.1242,#VALUE!,0.210141366,#VALUE!,#VALUE!,8-16 (with cap),11,4,1
13,1.4977,12.7013,5.3525,4,2.1661,1.4734,1.9765,NA,,55.41769441,3.8548,0.6684,0.5031,#VALUE!,0.01206113,#VALUE!,#VALUE!,0-4,14,5,1
14,1.4801,30.8605,29.6233,5.5,18.8961,1.5104,17.9357,NA,,76.19932981,28.1432,17.416,16.4253,#VALUE!,0.228558441,#VALUE!,#VALUE!,4-9.5 (with cap),14,5,1
