Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,3.7,63,70,,112.776,166,173,,
2,1,1,,,,4.8,30,33,,146.304,133,136,,
3,1,2,,,,5.2,22,24,,158.496,125,127,,
4,,,1.5,-,-,3.1,86,87,,94.488,189,190,,
5,2,1,,,,4.1,220,232,,124.968,323,335,,
6,2,2,,,,4.6,214,229,,140.208,317,332,,
7,,,2.5,-,-,12.5,335,373,,381,438,476,,
8,3,1,,,,14.3,388,434,,435.864,491,537,,
9,3,2,,,,14.8,385,414,,451.104,488,517,,
10,,,3.5,-,-,13.4,298,440,,408.432,401,543,,
11,4,1,,,,15.6,408,435,,475.488,511,538,,
12,4,2,,,,14.9,390,439,,454.152,493,542,,
13,,,4.5,-,-,13.1,350,372,,399.288,453,475,,
14,5,1,,,,11.3,269,286,,344.424,372,389,,
15,5,2,,,,11,279,295,,335.28,382,398,,
16,,,5.5,-,-,5.6,157,168,,170.688,260,271,,
